ticker,action,entry_date,exit_date,entry,exit,shares,pnl_pct,half_sold,days
GNRC,STOP,2020-09-01,2020-09-03,189.7100067138672,178.59,105.21321645465414,-5.861581529876325,False,2
UPS,STOP,2020-09-01,2020-09-04,125.9216574100456,120.06,158.8289132414522,-4.655003381156231,False,3
FDX,HALF,2020-09-01,2020-09-16,158.9625996520375,183.3599406117705,62.90787909791097,15.347849754053943,False,15
PWR,STOP,2020-09-01,2020-09-21,50.628171628906244,48.14,395.0369795416622,-4.914599024321897,False,20
FDX,TARGET,2020-09-01,2020-10-16,158.9625996520375,206.51,62.90787909791097,29.91106112509594,True,45
FCX,HALF,2020-09-01,2020-10-21,14.58049222939516,16.72024611469758,685.847901611949,14.675457122006797,False,50
DELL,STOP,2020-09-15,2020-10-28,31.078449019222877,28.564546720202816,569.2808650531273,-8.088892394421432,False,43
MRVL,STOP,2020-09-15,2020-10-29,38.81699099734681,35.21,518.5277743915817,-9.29229933766208,False,44
QCOM,HALF,2020-10-20,2020-11-05,113.71386437317463,130.33693218658732,94.01207474154893,14.618329880040658,False,16
FCX,TARGET,2020-09-01,2020-11-09,14.58049222939516,19.375604253427003,685.847901611949,32.88717519676465,True,69
FLEX,HALF,2020-11-03,2020-11-09,10.565184593200684,12.022592296600342,959.7699071025102,13.794436723212456,False,6
MPWR,STOP,2020-11-03,2020-11-16,306.9008064619706,289.21,66.08093574230213,-5.764340167728676,False,13
FCX,HALF,2020-11-10,2020-11-24,18.390564336626834,21.150282168313417,579.1501149698175,15.006161753232883,False,14
VRT,HALF,2020-09-22,2020-12-02,16.98964291046701,19.454821455233507,580.7898882338222,14.509890277021341,False,71
FLEX,TARGET,2020-11-03,2020-12-17,10.565184593200684,13.48,959.7699071025102,27.588873446424888,True,44
FCX,TARGET,2020-11-10,2020-12-30,18.390564336626834,23.91,579.1501149698175,30.012323506465766,True,50
COHR,HALF,2021-01-05,2021-01-12,75.9800033569336,87.3950016784668,153.81740345259166,15.023687571989974,False,7
QCOM,TARGET,2020-10-20,2021-01-20,113.71386437317463,146.96,94.01207474154893,29.236659760081295,True,92
PWR,HALF,2020-11-17,2021-01-20,67.98076702855428,78.61538351427714,162.6746011361149,15.643566482937675,False,64
TER,STOP,2021-01-26,2021-01-27,137.7232365563389,127.12,182.13065573299858,-7.698945233545529,False,1
ALGN,HALF,2020-12-22,2021-02-04,531.989990234375,610.9549951171875,21.689939855226342,14.84332531294874,False,44
